Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,GWH-CIGNA HMO (332),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CO LABORERS HLTH & WELFARE FUND (597),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,RMHP MH LARGE GROUP PPO HDHP (1160),385.04
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,RMHP LARGE GROUP HMO (1151),385.04
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,AETNA OTHER (24),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CHOICECARE HUMANA PPO (57),346.54
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,STUDENT RESOURCES (601),634.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,AETNA PPO (16),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,GWH-CIGNA OTHER (335),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,BCBS CO INDEMNITY (45),732.78
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,AETNA HMO/EPO (14),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,FRIDAY HEALTH PLANS NORTH SOUTH CO EXCH (1094),462.05
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CIGNA OTHER (67),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,GEHA MCR SUPPLEMENTAL (1055),634.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,FIRST HEALTH (254),556.17
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,COFINITY EXCHANGE PLAN (654),650.29
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,AETNA SRC (385),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,BCBS CO FEDERAL (42),487.63
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,EIGHTH DIST ELECT BEN PLN (596),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,PHCS PPO (170),641.74
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,HEALTH-PARTNERS (1050),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,AETNA POS/QPOS (15),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,KAISER HMO EXCHANGE PLAN (729),855.65
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CHOICECARE HUMANA HMO EPO (58),346.54
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CHOICECARE HUMANA MEDICARE HMO (59),114.16
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,GOLDEN RULE INS (328),634.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,UHC OTHER/SUPPLEMENTAL (28),634.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,GWH-CIGNA PPO (334),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CIGNA PPO (395),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CIGNA SCLHS CDHP (621),323.69
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,KAISER OUT OF STATE (129),855.65
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,AETNA NAP (17),770.09
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,BCBS CO PPO (44),487.63
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,FRIDAY HEALTH PLANS DENVER EXCHANGE (66),229.31
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,KAISER SELECT EXCHANGE PLAN (730),855.65
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,AMERIBEN (658),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CIGNA SCLHS EMPLOYEES (874),323.69
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,UHC EXCHANGE PLAN (763),634.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CIGNA POS/QPOS (62),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,COFINITY OTHER (71),650.29
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,KAISER SELF FUNDED (453),855.65
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,MULTIPLAN INC OTHER (64),727.30
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,ALL SAVERS ALTERNATIVE FUNDING (1030),634.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,GEHA-ASA (1056),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,RMHP SMALL GROUP HMO HDHP (1154),385.04
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,FRIDAY HEALTH PLANS DENVER (296),229.31
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CIGNA PPO (61),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,MULTIPLAN INC PPO (293),727.30
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,BCBS CO HMO (43),487.63
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,BCBS CO EXCHANGE PLAN (727),487.63
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,AETNA INDEMNITY (18),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,FRIDAY HEALTH PLANS NORTHERN SOUTHERN CO (1093),462.05
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CIGNA SUREFIT (1049),277.40
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,STARMARK (595),382.90
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,GEHA (583),634.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,UMR-UNITED MED RESOURCES (529),634.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,CIGNA HMO (60),6400.00
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,KAISER PERM PPO/POS (307),855.65
Good Samaritan Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO,KAISER PERMANENTE HMO (123),855.65
