Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Pioneers Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$626.40,CO,AETNA,767.34
Pioneers Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$626.40,CO,ANTHEM BLUE CROSS,736.80
Pioneers Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$626.40,CO,CIGNA,680.43
Pioneers Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$626.40,CO,HUMANA,767.34
Pioneers Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$626.40,CO,MULTIPLAN,743.85
Pioneers Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$626.40,CO,ROCKY MT. HEALTH PLANS,548.10
Pioneers Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$626.40,CO,UNITED HEALTHCARE,767.34
Pioneers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,716.80",CO,AETNA,2103.08
Pioneers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,716.80",CO,ANTHEM BLUE CROSS,2019.39
Pioneers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,716.80",CO,CIGNA,1864.87
Pioneers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,716.80",CO,HUMANA,2103.08
Pioneers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,716.80",CO,MULTIPLAN,2038.70
Pioneers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,716.80",CO,ROCKY MT. HEALTH PLANS,1502.20
Pioneers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,716.80",CO,UNITED HEALTHCARE,2103.08
Pioneers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$232.00,CO,AETNA,284.20
Pioneers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$232.00,CO,ANTHEM BLUE CROSS,272.89
Pioneers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$232.00,CO,CIGNA,252.01
Pioneers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$232.00,CO,HUMANA,284.20
Pioneers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$232.00,CO,MULTIPLAN,275.50
Pioneers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$232.00,CO,ROCKY MT. HEALTH PLANS,203.00
Pioneers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$232.00,CO,UNITED HEALTHCARE,284.20
Pioneers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$421.60,CO,AETNA,516.46
Pioneers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$421.60,CO,ANTHEM BLUE CROSS,495.91
Pioneers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$421.60,CO,CIGNA,457.96
Pioneers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$421.60,CO,HUMANA,516.46
Pioneers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$421.60,CO,MULTIPLAN,500.65
