Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,Aetna,2307.59
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,CareFirst,1834.38
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,Cigna,2320.76
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,Kaiser,1320.62
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,United Healthcare,1830.93
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,ChoiceCare,4078.49
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,HSCSN,3398.74
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,Tricare,3398.74
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,PFC,2945.58
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,PHCS/Multiplan,3625.33
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,Aetna Medicare Advantage,886.85
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,CareFirst Advantage,861.02
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,Kaiser Medicare Advantage,904.07
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,United Medicare Advantage,886.85
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,Veterans Affairs Community Care Network,861.02
MedStar Washington Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,DC,Amerihealth,1042.28
