Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Dover Behavioral Health System,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,600.00",DE,AMERIHEALTH CARITAS Rate.1,680.00
Dover Behavioral Health System,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,600.00",DE,BLUE CROSS FEDERAL,625.00
Dover Behavioral Health System,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,600.00",DE,COMPSYCH,721.00
Dover Behavioral Health System,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,600.00",DE,UNITED BEHAVIORAL HE,673.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,AETNA,892.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,AETNA MEDICARE,956.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,AMERIHEALTH CARITAS,835.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,AMERIHEALTH CARITAS Rate.1,825.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,BLUE CROSS BLUE SHIE,816.45
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,BLUE CROSS FEDERAL,816.45
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,BLUE CROSS OUT OF AR,816.45
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,CBH,738.14
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,CIGNA BEHAVIORAL HEA,911.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,CIGNA HEALTH SPRING,980.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,COMPSYCH,854.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,DE MEDICAID FEE FOR,738.14
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,DSAMH - INDIGENT,675.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,HEALTH OPTIONS HIGHM,771.30
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,HEALTH OPTIONS PLUS,771.30
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,HUMANA MEDICARE,980.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,MDMA-OPTUM MARYLAND,738.14
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,MEDICARE,980.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,ONE NET/MAMSI/CORESO,818.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,TRICARE EAST,1050.90
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,UHCCP DUAL COVERAGE,818.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,UNITED BEHAVIORAL HE,818.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,UNITED HEALTHCARE,818.00
Dover Behavioral Health System,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,600.00",DE,VA CCN OPTUM,980.00
