Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Aetna First Health,793.24
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Beech Street,780.75
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Beech Street Supplemental,832.80
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Choicenet/Olympus (Int'l),624.60
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Dimension Health PPO,884.85
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Dimension International,780.75
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Global Health Claims,780.75
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Global Health Claims (Int'l),780.75
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Guardian Life of the Caribean (international),728.70
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Medicare International,832.80
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Multiplan,728.70
Broward Health Coral Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,041.00",FL,Private Healthcare Systems,707.88
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Aetna First Health,1356.36
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Beech Street,1335.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Beech Street Supplemental,1424.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Choicenet/Olympus (Int'l),1068.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Dimension Health PPO,1513.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Dimension International,1335.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Global Health Claims,1335.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Global Health Claims (Int'l),1335.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Guardian Life of the Caribean (international),1246.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Medicare International,1424.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Multiplan,1246.00
Broward Health Coral Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,780.00",FL,Private Healthcare Systems,1210.40
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Aetna First Health,284.99
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Beech Street,280.50
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Beech Street Supplemental,299.20
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Choicenet/Olympus (Int'l),224.40
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Dimension Health PPO,317.90
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Dimension International,280.50
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Global Health Claims,280.50
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Global Health Claims (Int'l),280.50
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Guardian Life of the Caribean (international),261.80
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Medicare International,299.20
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Multiplan,261.80
Broward Health Coral Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$374.00,FL,Private Healthcare Systems,254.32
Broward Health Coral Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$485.00,FL,Aetna First Health,369.57
Broward Health Coral Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$485.00,FL,Beech Street,363.75
Broward Health Coral Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$485.00,FL,Beech Street Supplemental,388.00
Broward Health Coral Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$485.00,FL,Choicenet/Olympus (Int'l),291.00
Broward Health Coral Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$485.00,FL,Dimension Health PPO,412.25
Broward Health Coral Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$485.00,FL,Dimension International,363.75
Broward Health Coral Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$485.00,FL,Global Health Claims,363.75
Broward Health Coral Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$485.00,FL,Global Health Claims (Int'l),363.75
