Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,CAREWORKS (CRW),58.85
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,CAREWORKS WORK COMP (CRWW),61.79
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,CORVEL WC (CVLW),41.93
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,MULTIPLAN (MUL),51.49
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,PRIVATE HEALTHCARE SYSTEM (PHST),51.49
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,ZELIAS NET SOLUTIONS WC (ZNSW),41.93
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,ZELIAS NETWORK SOLUTIONS (ZNS),58.85
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,CAREWORKS (CRW),7.75
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,CAREWORKS WORK COMP (CRWW),8.14
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,CORVEL WC (CVLW),5.52
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,MULTIPLAN (MUL),6.78
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,PRIVATE HEALTHCARE SYSTEM (PHST),6.78
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,ZELIAS NET SOLUTIONS WC (ZNSW),5.52
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,ZELIAS NETWORK SOLUTIONS (ZNS),7.75
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,CAREWORKS (CRW),6.12
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,CAREWORKS WORK COMP (CRWW),6.43
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,CORVEL WC (CVLW),4.36
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,MULTIPLAN (MUL),5.36
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,PRIVATE HEALTHCARE SYSTEM (PHST),5.36
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,ZELIAS NET SOLUTIONS WC (ZNSW),4.36
Encompass Health Rehabilitation Hospital of Ocala,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,ZELIAS NETWORK SOLUTIONS (ZNS),6.12
Encompass Health Rehabilitation Hospital of Ocala,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$27.68,FL,CAREWORKS (CRW),29.52
Encompass Health Rehabilitation Hospital of Ocala,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$27.68,FL,CAREWORKS WORK COMP (CRWW),31.00
Encompass Health Rehabilitation Hospital of Ocala,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$27.68,FL,CORVEL WC (CVLW),21.03
Encompass Health Rehabilitation Hospital of Ocala,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$27.68,FL,MULTIPLAN (MUL),25.83
Encompass Health Rehabilitation Hospital of Ocala,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$27.68,FL,PRIVATE HEALTHCARE SYSTEM (PHST),25.83
Encompass Health Rehabilitation Hospital of Ocala,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$27.68,FL,ZELIAS NET SOLUTIONS WC (ZNSW),21.03
Encompass Health Rehabilitation Hospital of Ocala,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$27.68,FL,ZELIAS NETWORK SOLUTIONS (ZNS),29.52
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.14,FL,CAREWORKS (CRW),25.75
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.14,FL,CAREWORKS WORK COMP (CRWW),27.04
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.14,FL,CORVEL WC (CVLW),18.35
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.14,FL,MULTIPLAN (MUL),22.53
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.14,FL,PRIVATE HEALTHCARE SYSTEM (PHST),22.53
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.14,FL,ZELIAS NET SOLUTIONS WC (ZNSW),18.35
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.14,FL,ZELIAS NETWORK SOLUTIONS (ZNS),25.75
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$25.97,FL,CAREWORKS (CRW),27.70
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$25.97,FL,CAREWORKS WORK COMP (CRWW),29.08
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$25.97,FL,CORVEL WC (CVLW),19.73
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$25.97,FL,MULTIPLAN (MUL),24.23
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$25.97,FL,PRIVATE HEALTHCARE SYSTEM (PHST),24.23
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$25.97,FL,ZELIAS NET SOLUTIONS WC (ZNSW),19.73
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$25.97,FL,ZELIAS NETWORK SOLUTIONS (ZNS),27.70
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$32.42,FL,CAREWORKS (CRW),34.58
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$32.42,FL,CAREWORKS WORK COMP (CRWW),36.31
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$32.42,FL,CORVEL WC (CVLW),24.64
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$32.42,FL,MULTIPLAN (MUL),30.26
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$32.42,FL,PRIVATE HEALTHCARE SYSTEM (PHST),30.26
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$32.42,FL,ZELIAS NET SOLUTIONS WC (ZNSW),24.64
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$32.42,FL,ZELIAS NETWORK SOLUTIONS (ZNS),34.58
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$26.66,FL,CAREWORKS (CRW),28.44
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$26.66,FL,CAREWORKS WORK COMP (CRWW),29.86
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$26.66,FL,CORVEL WC (CVLW),20.26
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$26.66,FL,MULTIPLAN (MUL),24.89
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$26.66,FL,PRIVATE HEALTHCARE SYSTEM (PHST),24.89
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$26.66,FL,ZELIAS NET SOLUTIONS WC (ZNSW),20.26
Encompass Health Rehabilitation Hospital of Ocala,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$26.66,FL,ZELIAS NETWORK SOLUTIONS (ZNS),28.44
Encompass Health Rehabilitation Hospital of Ocala,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$9.72,FL,CAREWORKS (CRW),10.37
