Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,CAREWORKS (CRW),58.85
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,CAREWORKS WORK COMP (CRWW),61.79
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,MULTIPLAN (MUL),51.49
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85610,"Blood test, clotting time",$55.17,FL,ZELIAS NETWORK SOLUTIONS (ZNS),58.85
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,CAREWORKS (CRW),7.75
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,CAREWORKS WORK COMP (CRWW),8.14
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,MULTIPLAN (MUL),6.78
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.27,FL,ZELIAS NETWORK SOLUTIONS (ZNS),7.75
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,CAREWORKS (CRW),6.12
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,CAREWORKS WORK COMP (CRWW),6.43
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,MULTIPLAN (MUL),5.36
Encompass Health Rehabilitation Hospital of Spring Hill,Blood,HCPCS 85027,"Complete blood count, automated",$5.74,FL,ZELIAS NETWORK SOLUTIONS (ZNS),6.12
Encompass Health Rehabilitation Hospital of Spring Hill,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$49.01,FL,CAREWORKS (CRW),52.28
Encompass Health Rehabilitation Hospital of Spring Hill,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$49.01,FL,CAREWORKS WORK COMP (CRWW),54.89
Encompass Health Rehabilitation Hospital of Spring Hill,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$49.01,FL,MULTIPLAN (MUL),45.75
Encompass Health Rehabilitation Hospital of Spring Hill,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$49.01,FL,ZELIAS NETWORK SOLUTIONS (ZNS),52.28
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.67,FL,CAREWORKS (CRW),26.31
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.67,FL,CAREWORKS WORK COMP (CRWW),27.63
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.67,FL,MULTIPLAN (MUL),23.02
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$24.67,FL,ZELIAS NETWORK SOLUTIONS (ZNS),26.31
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.80,FL,CAREWORKS (CRW),32.86
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.80,FL,CAREWORKS WORK COMP (CRWW),34.50
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.80,FL,MULTIPLAN (MUL),28.75
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.80,FL,ZELIAS NETWORK SOLUTIONS (ZNS),32.86
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$39.05,FL,CAREWORKS (CRW),41.66
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$39.05,FL,CAREWORKS WORK COMP (CRWW),43.74
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$39.05,FL,MULTIPLAN (MUL),36.45
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$39.05,FL,ZELIAS NETWORK SOLUTIONS (ZNS),41.66
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$23.81,FL,CAREWORKS (CRW),25.40
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$23.81,FL,CAREWORKS WORK COMP (CRWW),26.67
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$23.81,FL,MULTIPLAN (MUL),22.23
Encompass Health Rehabilitation Hospital of Spring Hill,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$23.81,FL,ZELIAS NETWORK SOLUTIONS (ZNS),25.40
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$9.72,FL,CAREWORKS (CRW),10.37
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$9.72,FL,CAREWORKS WORK COMP (CRWW),10.89
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$9.72,FL,MULTIPLAN (MUL),9.07
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$9.72,FL,ZELIAS NETWORK SOLUTIONS (ZNS),10.37
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.54,FL,CAREWORKS (CRW),6.98
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.54,FL,CAREWORKS WORK COMP (CRWW),7.32
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.54,FL,MULTIPLAN (MUL),6.10
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.54,FL,ZELIAS NETWORK SOLUTIONS (ZNS),6.98
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$9.23,FL,CAREWORKS (CRW),9.85
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$9.23,FL,CAREWORKS WORK COMP (CRWW),10.34
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$9.23,FL,MULTIPLAN (MUL),8.62
Encompass Health Rehabilitation Hospital of Spring Hill,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$9.23,FL,ZELIAS NETWORK SOLUTIONS (ZNS),9.85
Encompass Health Rehabilitation Hospital of Spring Hill,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,FL,CAREWORKS (CRW),132.80
Encompass Health Rehabilitation Hospital of Spring Hill,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,FL,CAREWORKS WORK COMP (CRWW),139.44
Encompass Health Rehabilitation Hospital of Spring Hill,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,FL,MULTIPLAN (MUL),116.20
