Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,CAREWORKS (CRW),16.80
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,CAREWORKS WORK COMP (CRWW),17.64
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,INTEGRA GROUP WC (INTW),15.75
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,MULTIPLAN (MUL),14.70
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,PRIVATE HEALTHCARE SYSTEM (PHST),14.70
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,ZELIAS NETWORK SOLUTIONS (ZNS),16.80
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$22.50,FL,CAREWORKS (CRW),24.00
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$22.50,FL,CAREWORKS WORK COMP (CRWW),25.20
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$22.50,FL,INTEGRA GROUP WC (INTW),22.50
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$22.50,FL,MULTIPLAN (MUL),21.00
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$22.50,FL,PRIVATE HEALTHCARE SYSTEM (PHST),21.00
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$22.50,FL,ZELIAS NETWORK SOLUTIONS (ZNS),24.00
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,FL,CAREWORKS (CRW),17.60
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,FL,CAREWORKS WORK COMP (CRWW),18.48
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,FL,INTEGRA GROUP WC (INTW),16.50
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,FL,MULTIPLAN (MUL),15.40
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,FL,PRIVATE HEALTHCARE SYSTEM (PHST),15.40
Encompass Health Rehabilitation Hospital of Sunrise,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,FL,ZELIAS NETWORK SOLUTIONS (ZNS),17.60
Encompass Health Rehabilitation Hospital of Sunrise,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$45.75,FL,CAREWORKS (CRW),48.80
Encompass Health Rehabilitation Hospital of Sunrise,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$45.75,FL,CAREWORKS WORK COMP (CRWW),51.24
Encompass Health Rehabilitation Hospital of Sunrise,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$45.75,FL,INTEGRA GROUP WC (INTW),45.75
Encompass Health Rehabilitation Hospital of Sunrise,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$45.75,FL,MULTIPLAN (MUL),42.70
Encompass Health Rehabilitation Hospital of Sunrise,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$45.75,FL,PRIVATE HEALTHCARE SYSTEM (PHST),42.70
Encompass Health Rehabilitation Hospital of Sunrise,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$45.75,FL,ZELIAS NETWORK SOLUTIONS (ZNS),48.80
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$26.25,FL,CAREWORKS (CRW),28.00
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$26.25,FL,CAREWORKS WORK COMP (CRWW),29.40
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$26.25,FL,INTEGRA GROUP WC (INTW),26.25
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$26.25,FL,MULTIPLAN (MUL),24.50
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$26.25,FL,PRIVATE HEALTHCARE SYSTEM (PHST),24.50
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$26.25,FL,ZELIAS NETWORK SOLUTIONS (ZNS),28.00
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.75,FL,CAREWORKS (CRW),32.80
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.75,FL,CAREWORKS WORK COMP (CRWW),34.44
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.75,FL,INTEGRA GROUP WC (INTW),30.75
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.75,FL,MULTIPLAN (MUL),28.70
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.75,FL,PRIVATE HEALTHCARE SYSTEM (PHST),28.70
Encompass Health Rehabilitation Hospital of Sunrise,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.75,FL,ZELIAS NETWORK SOLUTIONS (ZNS),32.80
