Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,CAREWORKS (CRW),16.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,CAREWORKS WORK COMP (CRWW),17.64
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,MULTIPLAN (MUL),14.70
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,PRIVATE HEALTHCARE SYSTEM (PHST),14.70
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,FL,ZELIAS NETWORK SOLUTIONS (ZNS),16.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$27.00,FL,CAREWORKS (CRW),28.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$27.00,FL,CAREWORKS WORK COMP (CRWW),30.24
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$27.00,FL,MULTIPLAN (MUL),25.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$27.00,FL,PRIVATE HEALTHCARE SYSTEM (PHST),25.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$27.00,FL,ZELIAS NETWORK SOLUTIONS (ZNS),28.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85027,"Complete blood count, automated",$18.00,FL,CAREWORKS (CRW),19.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85027,"Complete blood count, automated",$18.00,FL,CAREWORKS WORK COMP (CRWW),20.16
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85027,"Complete blood count, automated",$18.00,FL,MULTIPLAN (MUL),16.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85027,"Complete blood count, automated",$18.00,FL,PRIVATE HEALTHCARE SYSTEM (PHST),16.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Blood,HCPCS 85027,"Complete blood count, automated",$18.00,FL,ZELIAS NETWORK SOLUTIONS (ZNS),19.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$38.25,FL,CAREWORKS (CRW),40.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$38.25,FL,CAREWORKS WORK COMP (CRWW),42.84
Encompass Health Rehabilitation Hospital of Treasure Coast,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$38.25,FL,MULTIPLAN (MUL),35.70
Encompass Health Rehabilitation Hospital of Treasure Coast,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$38.25,FL,PRIVATE HEALTHCARE SYSTEM (PHST),35.70
Encompass Health Rehabilitation Hospital of Treasure Coast,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$38.25,FL,ZELIAS NETWORK SOLUTIONS (ZNS),40.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$27.00,FL,CAREWORKS (CRW),28.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$27.00,FL,CAREWORKS WORK COMP (CRWW),30.24
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$27.00,FL,MULTIPLAN (MUL),25.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$27.00,FL,PRIVATE HEALTHCARE SYSTEM (PHST),25.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$27.00,FL,ZELIAS NETWORK SOLUTIONS (ZNS),28.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$42.00,FL,CAREWORKS (CRW),44.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$42.00,FL,CAREWORKS WORK COMP (CRWW),47.04
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$42.00,FL,MULTIPLAN (MUL),39.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$42.00,FL,PRIVATE HEALTHCARE SYSTEM (PHST),39.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$42.00,FL,ZELIAS NETWORK SOLUTIONS (ZNS),44.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,FL,CAREWORKS (CRW),36.00
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,FL,CAREWORKS WORK COMP (CRWW),37.80
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,FL,MULTIPLAN (MUL),31.50
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,FL,PRIVATE HEALTHCARE SYSTEM (PHST),31.50
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,FL,ZELIAS NETWORK SOLUTIONS (ZNS),36.00
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,FL,CAREWORKS (CRW),23.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,FL,CAREWORKS WORK COMP (CRWW),24.36
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,FL,MULTIPLAN (MUL),20.30
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,FL,PRIVATE HEALTHCARE SYSTEM (PHST),20.30
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,FL,ZELIAS NETWORK SOLUTIONS (ZNS),23.20
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,FL,CAREWORKS (CRW),22.40
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,FL,CAREWORKS WORK COMP (CRWW),23.52
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,FL,MULTIPLAN (MUL),19.60
Encompass Health Rehabilitation Hospital of Treasure Coast,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,FL,PRIVATE HEALTHCARE SYSTEM (PHST),19.60
