Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,UNITED HEALTHCARE COMMERCIAL,987.86
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,ALLEGIANCE PPO,368.13
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,UNITED HEALTHCARE PPO,2186.74
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,UNITED HEALTHCARE MEDICARE ADVANTAGE,457.26
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,MT HEALTH COOP COMMERCIAL,1019.43
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,AETNA PPO,682.64
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,BLUE CROSS MEDICARE ADVANTAGE,291.77
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,FIRST CHOICE HEALTH NETWORK COMMERCIAL,368.13
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,ALLEGIANCE COMMERCIAL,934.56
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$992.88,MT,AETNA COMMERCIAL,832.32
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,AETNA COMMERCIAL,704.00
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,UNITED HEALTHCARE HMO,492.23
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,UNITED HEALTHCARE MEDICARE ADVANTAGE,486.29
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,UNITED HEALTHCARE PPO,851.19
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,HEALTHPARTNERS HMO,572.67
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,ALLEGIANCE PPO,317.85
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,BLUE CROSS PPO,194.62
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,FIRST CHOICE HEALTH NETWORK MEDICARE ADVANTAGE,124.88
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,UNITED HEALTHCARE COMMERCIAL,661.74
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,FIRST CHOICE HEALTH NETWORK COMMERCIAL,592.63
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,BLUE CROSS MANAGED MEDICAID,334.41
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,AETNA HMO,337.32
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,ALLEGIANCE HMO,204.24
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,HEALTHPARTNERS COMMERCIAL,198.14
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,BLUE CROSS MEDICARE ADVANTAGE,333.14
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,MT HEALTH COOP COMMERCIAL,720.72
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,ALLEGIANCE COMMERCIAL,729.77
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$768.48,MT,AETNA PPO,696.58
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,AETNA COMMERCIAL,704.00
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,UNITED HEALTHCARE HMO,492.23
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,UNITED HEALTHCARE MEDICARE ADVANTAGE,486.29
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,UNITED HEALTHCARE PPO,851.19
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,HEALTHPARTNERS HMO,572.67
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,ALLEGIANCE PPO,317.85
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,BLUE CROSS PPO,194.62
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,FIRST CHOICE HEALTH NETWORK MEDICARE ADVANTAGE,124.88
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,UNITED HEALTHCARE COMMERCIAL,661.74
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,FIRST CHOICE HEALTH NETWORK COMMERCIAL,592.63
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,BLUE CROSS MANAGED MEDICAID,334.41
Bozeman Health Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$768.48,MT,AETNA HMO,337.32
