Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Alamance Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,BEACON HEALTH VALUE OPTIONS,771.20
Alamance Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,CARDINAL INNOVATIONS,94.92
Alamance Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,CAROLINA BEHAVIORAL HEALTH ALLIANCE,771.20
Alamance Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,CIGNA,696.01
Alamance Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,GENERIC FIRST HEALTHCOVENTRY,734.57
Alamance Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,HUMANA,645.88
Alamance Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,MUTUAL OF OMAHA,694.08
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,AETNA MEDICARE,685.59
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,AMBETTER,1545.95
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,BEACON HEALTH VALUE OPTIONS,2070.40
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,BEECH STREET,2510.36
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,BLUE CROSS BLUE SHIELD MEDICARE,672.15
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,BRIGHT HEALTH,1109.05
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,CARDINAL INNOVATIONS,465.84
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,CAROLINA BEHAVIORAL HEALTH ALLIANCE,2070.40
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,CIGNA,1868.54
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,CIGNA MEDICARE ADVANTAGE,672.15
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,COMPYSCH COPORATION,672.15
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,FIDELIS Medicare Advantage,672.15
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,GENERIC FIRST HEALTHCOVENTRY,1972.06
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HEALTHTEAM ADVANTAGE,672.15
Alamance Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HOSPICE OF THE PIEDMONT,625.10
