Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,ACS CONSULT SVC INC,608.22
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,AETNA,586.64
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,BCBS,368.20
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,BENEFIT MGMT. SVCS,555.90
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,CIGNA,603.64
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,MEDCOST PPO SPEC EMPLOYER,510.12
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,MEDCOST PPO SPEC PAYER ASSURANT,440.14
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,MEDCOST PPO SPEC PAYER OTH,595.14
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,MEDCOST PPO STD,608.22
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,MEDCOST PPO ULTRA,440.14
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC,UNITED HEALTH CARE,495.08
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,ACS CONSULT SVC INC,2552.85
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,AETNA,2462.27
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,BCBS,1545.44
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,BENEFIT MGMT. SVCS,2333.25
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,CIGNA,2533.64
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,MEDCOST PPO SPEC EMPLOYER,2141.10
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,MEDCOST PPO SPEC PAYER ASSURANT,1847.39
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,MEDCOST PPO SPEC PAYER OTH,2497.95
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,MEDCOST PPO STD,2552.85
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,MEDCOST PPO ULTRA,1847.39
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC,UNITED HEALTH CARE,2077.97
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,ACS CONSULT SVC INC,220.41
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,AETNA,212.59
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,BCBS,133.43
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,BENEFIT MGMT. SVCS,201.45
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,CIGNA,218.75
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,MEDCOST PPO SPEC EMPLOYER,184.86
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,MEDCOST PPO SPEC PAYER ASSURANT,159.50
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,MEDCOST PPO SPEC PAYER OTH,215.67
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,MEDCOST PPO STD,220.41
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,MEDCOST PPO ULTRA,159.50
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC,UNITED HEALTH CARE,179.41
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,ACS CONSULT SVC INC,405.48
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,AETNA,391.09
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,BCBS,245.47
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,BENEFIT MGMT. SVCS,370.60
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,CIGNA,402.43
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,MEDCOST PPO SPEC EMPLOYER,340.08
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,MEDCOST PPO SPEC PAYER ASSURANT,293.43
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,MEDCOST PPO SPEC PAYER OTH,396.76
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,MEDCOST PPO STD,405.48
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,MEDCOST PPO ULTRA,293.43
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC,UNITED HEALTH CARE,330.05
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,ACS CONSULT SVC INC,770.97
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,AETNA,743.61
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,BCBS,466.73
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,BENEFIT MGMT. SVCS,704.65
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,CIGNA,765.17
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,MEDCOST PPO SPEC EMPLOYER,646.62
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,MEDCOST PPO SPEC PAYER ASSURANT,557.92
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,MEDCOST PPO SPEC PAYER OTH,754.39
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,MEDCOST PPO STD,770.97
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,MEDCOST PPO ULTRA,557.92
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC,UNITED HEALTH CARE,627.55
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,ACS CONSULT SVC INC,1280.61
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,AETNA,1235.17
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,BCBS,775.25
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,BENEFIT MGMT. SVCS,1170.45
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,CIGNA,1270.97
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,MEDCOST PPO SPEC EMPLOYER,1074.06
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,MEDCOST PPO SPEC PAYER ASSURANT,926.72
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,MEDCOST PPO SPEC PAYER OTH,1253.07
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,MEDCOST PPO STD,1280.61
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,MEDCOST PPO ULTRA,926.72
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC,UNITED HEALTH CARE,1042.39
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,ACS CONSULT SVC INC,1920.45
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,AETNA,1852.31
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,BCBS,1162.60
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,BENEFIT MGMT. SVCS,1755.25
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,CIGNA,1906.00
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,MEDCOST PPO SPEC EMPLOYER,1610.70
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,MEDCOST PPO SPEC PAYER ASSURANT,1389.75
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,MEDCOST PPO SPEC PAYER OTH,1879.15
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,MEDCOST PPO STD,1920.45
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,MEDCOST PPO ULTRA,1389.75
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC,UNITED HEALTH CARE,1563.21
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,ACS CONSULT SVC INC,181.35
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,AETNA,174.92
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,BCBS,109.79
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,BENEFIT MGMT. SVCS,165.75
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,CIGNA,179.99
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,INCLUSIVE HEALTH (NCHIRP),124.75
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,MEDCOST PPO SPEC EMPLOYER,152.10
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,MEDCOST PPO SPEC PAYER ASSURANT,131.24
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,MEDCOST PPO SPEC PAYER OTH,177.45
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,MEDCOST PPO STD,181.35
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,MEDCOST PPO ULTRA,131.24
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC,UNITED HEALTH CARE,147.62
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,ACS CONSULT SVC INC,181.35
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,AETNA,174.92
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,BCBS,109.79
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,BENEFIT MGMT. SVCS,165.75
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,CIGNA,179.99
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,INCLUSIVE HEALTH (NCHIRP),124.75
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,MEDCOST PPO SPEC EMPLOYER,152.10
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,MEDCOST PPO SPEC PAYER ASSURANT,131.24
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,MEDCOST PPO SPEC PAYER OTH,177.45
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,MEDCOST PPO STD,181.35
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,MEDCOST PPO ULTRA,131.24
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC,UNITED HEALTH CARE,147.62
Carolinaeast Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$49.80,NC,ACS CONSULT SVC INC,77.19
Carolinaeast Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$49.80,NC,AETNA,74.45
Carolinaeast Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$49.80,NC,BCBS,46.73
