Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Aetna,277.40
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Aetna Medicare Advantage,108.04
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,BCBS,282.98
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,BCBS Medicare Advantage,102.20
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Cigna,276.31
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Cigna Connect Network,193.45
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Cigna SureFit,197.10
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Coventry,277.40
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,First Carolina Care,328.50
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,First Carolina Care Medicare Advantage,109.03
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,First Health,324.85
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,First Medicare Direct,109.50
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Humana,321.20
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Humana Gold,106.91
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,Humana Medicare Advantage,106.91
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,MedCost,335.80
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,TriCare,106.40
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,United Healthcare,328.50
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,United Healthcare Medicare Advantage,108.50
Chatham Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$219.00,North Carolina,WellCare Medicare Advantage,107.31
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,Aetna,624.72
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,Aetna Medicare Advantage,243.31
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,BCBS,637.30
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,BCBS Medicare Advantage,230.16
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,Cigna,622.25
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,Cigna Connect Network,435.66
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,Cigna SureFit,443.88
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,Coventry,624.72
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,First Carolina Care,739.80
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,First Carolina Care Medicare Advantage,245.53
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,First Health,731.58
Chatham Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$493.20,North Carolina,First Medicare Direct,246.60
