Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,BEACON HEALTH VALUE OPTIONS,771.20
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,CARDINAL INNOVATIONS,94.92
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,CAROLINA BEHAVIORAL HEALTH ALLIANCE,771.20
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,CIGNA,696.01
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,GATEWAY HEALTH ALLIANCE,790.48
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,GATEWAY HALLIFAX,790.48
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,GENERIC FIRST HEALTHCOVENTRY,734.57
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,HUMANA,645.88
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,MUTUAL OF OMAHA,694.08
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$424.16,NC,PCHA,790.48
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,AETNA MEDICARE,685.59
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,AMBETTER,1545.95
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,BEACON HEALTH VALUE OPTIONS,2070.40
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,BEECH STREET,2536.24
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,BLUE CROSS BLUE SHIELD MEDICARE,672.15
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,BRIGHT HEALTH,1109.05
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,CARDINAL INNOVATIONS,517.60
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,CAROLINA BEHAVIORAL HEALTH ALLIANCE,2070.40
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,CIGNA,1868.54
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,CIGNA MEDICARE ADVANTAGE,672.15
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,COMPYSCH COPORATION,672.15
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,FIDELIS Medicare Advantage,672.15
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,GATEWAY HEALTH ALLIANCE,2122.16
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,GATEWAY HALLIFAX,2122.16
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,GENERIC FIRST HEALTHCOVENTRY,1972.06
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HEALTHTEAM ADVANTAGE,672.15
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HOSPICE OF THE PIEDMONT,625.10
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HOSPICE OF ALAMANCE,661.40
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HOSPICE OF GREENSBORO,661.40
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HOSPICE OF RANDOLPH,672.15
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HOSPICE OF ROCKINGHAM,638.54
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HOSPICE OF STOKES COUNTY,672.15
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HUMANA,1733.96
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,HUMANA MEDICARE,692.31
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,KINDRED HOSPITAL,369.68
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,MUTUAL OF OMAHA,1863.36
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,NC DEPT OF PUBLIC SAFETYSTATE INMATES,905.80
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,NYSHIP EMPIRE,2036.24
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,ONENET,2588.00
Cone Health Moses Cone Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,138.72",NC,OXFORD HEALTH,2588.00
