Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Frye Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,NC,BCBS of NC - (POS),169.32
Frye Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,NC,BCBS of NC - (PPO),186.50
Frye Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,NC,BCBSNC Host - (Indemnity),186.50
Frye Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NC,BCBS of NC - (POS),131.49
Frye Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NC,BCBS of NC - (PPO),144.83
Frye Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NC,BCBSNC Host - (Indemnity),144.83
Frye Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NC,BCBSNC-BLUE CROSS BLUE SHIELD - (PPO),144.83
Frye Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NC,NC STATE PPO - (PPO),144.83
Frye Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NC,NC STATE PPO - (PPO),250.36
Frye Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NC,TRIWEST HEALTHCARE ALLIANCE - (Indemnity),191.49
Frye Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NC,UNITED HEALTHCARE INSURANCE COMPANY - (HMO-MR),193.40
Frye Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NC,UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY INC - (PPO),193.40
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,BCBS of NC - (POS),88.12
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,BCBS of NC - (PPO),96.94
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,BCBSNC Host - (Indemnity),96.94
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,BCBSNC-BLUE CROSS BLUE SHIELD - (PPO),96.94
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA - (HMO),69.34
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,Cigna Health and Life Insurance Company - (POS),97.28
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,HUMANA INC. - (HMO-MR),63.39
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,NC STATE PPO - (PPO),96.94
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,TRIWEST HEALTHCARE ALLIANCE - (Indemnity),72.02
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,UNITED HEALTHCARE INSURANCE COMPANY - (HMO),273.00
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,UNITED HEALTHCARE INSURANCE COMPANY - (HMO-MR),65.41
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,UNITED HEALTHCARE INSURANCE COMPANY - (POS),273.00
Frye Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NC,UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY INC - (PPO),69.10
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,BCBS of NC - (POS),79.26
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,BCBS of NC - (PPO),87.19
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA - (HMO),85.29
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,CIGNA HEALTHSPRING - (PPO),72.39
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,HUMANA INC. - (HMO-MR),85.81
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,TRIWEST HEALTHCARE ALLIANCE - (Indemnity),85.81
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,UNITED HEALTHCARE INSURANCE COMPANY - (HMO),273.00
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,UNITED HEALTHCARE INSURANCE COMPANY - (HMO-MR),86.67
Frye Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NC,UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY INC - (PPO),86.67
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,BCBS of NC - (POS),97.51
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,BCBS of NC - (PPO),107.27
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA - (HMO),85.78
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,CIGNA - (PPO),86.31
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,CIGNA HEALTHSPRING - (PPO),86.31
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,HUMANA INC. - (HMO-MR),86.31
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,TRIWEST HEALTHCARE ALLIANCE - (Indemnity),86.31
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,UNITED HEALTHCARE INSURANCE COMPANY - (HMO-MR),87.17
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,UNITED HEALTHCARE INSURANCE COMPANY - (POS),273.00
Frye Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NC,UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY INC - (PPO),87.17
Frye Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NC,BCBS of NC - (POS),7.34
Frye Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NC,BCBSNC ASO - (PPO),8.08
Frye Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NC,BCBSNC Host - (Indemnity),8.08
Frye Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NC,BCBSNC-BLUE CROSS BLUE SHIELD - (PPO),8.08
Frye Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NC,NC STATE PPO - (PPO),8.08
