Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,Aetna,230.84
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,Aetna NC Preferred,199.00
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,BCBS,164.37
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,Cigna,201.79
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,Cigna Connect Network,119.80
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,Cigna SureFit,122.19
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,First Health,358.20
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,MedCost,314.42
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,North Carolina,United Healthcare,172.73
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,Aetna,1537.00
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,Aetna Medicare Advantage,643.11
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,Aetna NC Preferred,1325.00
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,BCBS,1094.45
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,Cigna,1343.55
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,Cigna Connect Network,797.65
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,Cigna SureFit,813.55
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,First Health,2385.00
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,Humana Medicare Advantage,630.50
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,MedCost,2093.50
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,TriCare,598.98
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,United Healthcare,2650.00
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,United Healthcare Medicare Advantage,633.65
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",North Carolina,WellCare Medicare Advantage,646.26
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,Aetna,305.66
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,Aetna Medicare Advantage,71.93
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,Aetna NC Preferred,263.50
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,BCBS,217.65
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,Cigna,240.00
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,Cigna Connect Network,158.63
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,Cigna SureFit,161.79
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,First Health,474.30
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,Humana Medicare Advantage,70.52
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,MedCost,416.33
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,TriCare,66.99
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,United Healthcare,382.00
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,United Healthcare Medicare Advantage,66.17
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,North Carolina,WellCare Medicare Advantage,67.49
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,Aetna,334.66
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,Aetna Medicare Advantage,126.47
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,Aetna NC Preferred,288.50
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,BCBS,238.30
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,Cigna,240.00
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,Cigna Connect Network,173.68
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,Cigna SureFit,177.14
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,First Health,519.30
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,Humana Medicare Advantage,123.99
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,Liberty Medicare Advantage,130.19
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,MedCost,455.83
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,TriCare,123.13
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,United Healthcare,577.00
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,United Healthcare Medicare Advantage,121.62
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,North Carolina,WellCare Medicare Advantage,124.04
Nash General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$708.00,North Carolina,Aetna,684.40
Nash General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$708.00,North Carolina,Aetna Medicare Advantage,215.45
Nash General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$708.00,North Carolina,Aetna NC Preferred,590.00
Nash General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$708.00,North Carolina,BCBS,487.34
Nash General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$708.00,North Carolina,Cigna,598.26
