Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Sampson Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$484.50,NC,AETNA,581.40
Sampson Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$484.50,NC,AETNA MCR ADVANTAGE,232.56
Sampson Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$484.50,NC,BLUE CROSS BLUE SHIELD NC,411.50
Sampson Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$484.50,NC,CIGNA,581.40
Sampson Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$484.50,NC,MEDCOST,498.71
Sampson Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$484.50,NC,MULTIPLAN,594.32
Sampson Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$484.50,NC,UNITED HEALTHCARE,468.35
Sampson Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,080.00",NC,AETNA,1296.00
Sampson Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,080.00",NC,AETNA MCR ADVANTAGE,518.40
Sampson Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,080.00",NC,BLUE CROSS BLUE SHIELD NC,917.28
Sampson Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,080.00",NC,CIGNA,1296.00
Sampson Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,080.00",NC,MEDCOST,1111.68
Sampson Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,080.00",NC,MULTIPLAN,1324.80
Sampson Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,080.00",NC,UNITED HEALTHCARE,1044.00
Sampson Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$134.25,NC,AETNA,161.10
Sampson Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$134.25,NC,AETNA MCR ADVANTAGE,64.44
Sampson Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$134.25,NC,BLUE CROSS BLUE SHIELD NC,114.02
Sampson Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$134.25,NC,CIGNA,161.10
Sampson Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$134.25,NC,MEDCOST,138.19
Sampson Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$134.25,NC,MULTIPLAN,164.68
Sampson Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$134.25,NC,UNITED HEALTHCARE,129.78
Sampson Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$217.50,NC,AETNA,261.00
Sampson Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$217.50,NC,AETNA MCR ADVANTAGE,104.40
Sampson Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$217.50,NC,BLUE CROSS BLUE SHIELD NC,184.73
Sampson Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$217.50,NC,CIGNA,261.00
Sampson Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$217.50,NC,MEDCOST,223.88
Sampson Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$217.50,NC,MULTIPLAN,266.80
Sampson Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$217.50,NC,UNITED HEALTHCARE,210.25
Sampson Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$342.00,NC,AETNA,410.40
Sampson Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$342.00,NC,AETNA MCR ADVANTAGE,164.16
Sampson Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$342.00,NC,BLUE CROSS BLUE SHIELD NC,290.47
Sampson Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$342.00,NC,CIGNA,410.40
Sampson Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$342.00,NC,MEDCOST,352.03
Sampson Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$342.00,NC,MULTIPLAN,419.52
Sampson Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$342.00,NC,UNITED HEALTHCARE,330.60
Sampson Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$544.50,NC,AETNA,653.40
Sampson Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$544.50,NC,AETNA MCR ADVANTAGE,261.36
Sampson Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$544.50,NC,BLUE CROSS BLUE SHIELD NC,462.46
Sampson Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$544.50,NC,CIGNA,653.40
Sampson Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$544.50,NC,MEDCOST,560.47
Sampson Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$544.50,NC,MULTIPLAN,667.92
Sampson Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$544.50,NC,UNITED HEALTHCARE,526.35
Sampson Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$741.00,NC,AETNA,889.20
Sampson Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$741.00,NC,AETNA MCR ADVANTAGE,355.68
Sampson Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$741.00,NC,BLUE CROSS BLUE SHIELD NC,629.36
Sampson Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$741.00,NC,CIGNA,889.20
Sampson Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$741.00,NC,MEDCOST,762.74
Sampson Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$741.00,NC,MULTIPLAN,908.96
Sampson Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$741.00,NC,UNITED HEALTHCARE,716.30
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,AETNA,502.20
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,AETNA MCR ADVANTAGE,236.41
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,BCBS NC MCR ADVANTAGE,227.32
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,BLUE CROSS BLUE SHIELD NC,355.45
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,CIGNA,502.20
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,GATEWAY MCR ADVANTAGE,236.41
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,LIBERTY ADVANTAGE,231.87
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,MEDCOST,430.78
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,MULTIPLAN,513.36
Sampson Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$418.50,NC,UNITED HEALTHCARE,404.55
Sampson Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$138.75,NC,AETNA,166.50
Sampson Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$138.75,NC,AETNA MCR ADVANTAGE,78.63
Sampson Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$138.75,NC,BCBS NC MCR ADVANTAGE,75.61
Sampson Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$138.75,NC,BLUE CROSS BLUE SHIELD NC,117.85
Sampson Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$138.75,NC,CIGNA,166.50
