Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
UNC Lenoir Health Care,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$42.60,North Carolina,Aetna,63.19
UNC Lenoir Health Care,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$42.60,North Carolina,Aetna NBD,66.03
UNC Lenoir Health Care,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$42.60,North Carolina,BCBS,58.88
UNC Lenoir Health Care,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$42.60,North Carolina,Cigna,61.56
UNC Lenoir Health Care,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$42.60,North Carolina,First Health,63.19
UNC Lenoir Health Care,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$42.60,North Carolina,MedCost,63.90
UNC Lenoir Health Care,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$42.60,North Carolina,TriCare,71.00
UNC Lenoir Health Care,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$42.60,North Carolina,United,60.35
UNC Lenoir Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,413.60",North Carolina,Aetna,2096.84
UNC Lenoir Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,413.60",North Carolina,Aetna NBD,2191.08
UNC Lenoir Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,413.60",North Carolina,BCBS,1953.83
UNC Lenoir Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,413.60",North Carolina,Cigna,2042.65
UNC Lenoir Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,413.60",North Carolina,First Health,2096.84
UNC Lenoir Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,413.60",North Carolina,MedCost,2120.40
UNC Lenoir Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,413.60",North Carolina,TriCare,2356.00
UNC Lenoir Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,413.60",North Carolina,United,2002.60
UNC Lenoir Health Care,Emergency Care,HCPCS 99281,Emergency Level 1,$145.80,North Carolina,Aetna,216.27
UNC Lenoir Health Care,Emergency Care,HCPCS 99281,Emergency Level 1,$145.80,North Carolina,Aetna NBD,225.99
UNC Lenoir Health Care,Emergency Care,HCPCS 99281,Emergency Level 1,$145.80,North Carolina,BCBS,201.52
