Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Carteret Health Care,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,662.31",WA
Carteret Health Care,Emergency Care,HCPCS 99281,Emergency Level 1,$334.42,WA
Carteret Health Care,Emergency Care,HCPCS 99282,Emergency Level 2,$240.32,WA
Carteret Health Care,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,330.23",WA
Carteret Health Care,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,650.32",WA
Carteret Health Care,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,641.24",WA
Carteret Health Care,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$313.33,WA
Carteret Health Care,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,347.24",WA
Carteret Health Care,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$358.44,WA
Carteret Health Care,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$484.07,WA
Carteret Health Care,Speech,HCPCS 92507,Speech Therapy,$96.77,WA
Carteret Health Care,Speech,HCPCS 92610,Swallow Evaluation,$196.01,WA
Carteret Health Care,Speech,HCPCS 92526,Swallow Treatment,$134.40,WA
Carteret Health Care,Blood,HCPCS 85018,"Blood count, hemoglobin",$16.15,WA
Carteret Health Care,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$32.30,WA
Carteret Health Care,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$55.82,WA
Carteret Health Care,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$162.41,WA
Carteret Health Care,Blood,HCPCS 85610,"Blood test, clotting time","$3,676.00",WA
Carteret Health Care,Blood,HCPCS 85730,Coagulation assessment blood test,"$3,676.00",WA
Carteret Health Care,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$434.80,WA
Carteret Health Care,Blood,HCPCS 85027,"Complete blood count, automated",$55.88,WA
Carteret Health Care,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$53.76,WA
Carteret Health Care,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$53.89,WA
Carteret Health Care,Blood,HCPCS 85660,Red blood cell sickling measurement,$63.67,WA
Carteret Health Care,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$582.12,WA
Carteret Health Care,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$594.32,WA
Carteret Health Care,Chemistry,HCPCS 82040,Albumin (protein) level,$22.45,WA
Carteret Health Care,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$180.43,WA
Carteret Health Care,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$192.81,WA
Carteret Health Care,Chemistry,HCPCS 82140,Ammonia level,$41.36,WA
Carteret Health Care,Chemistry,HCPCS 82150,Amylase (enzyme) level,$118.86,WA
Carteret Health Care,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$19.86,WA
Carteret Health Care,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$48.24,WA
Carteret Health Care,Chemistry,HCPCS 84439,Assay of free thyroxine,$491.75,WA
Carteret Health Care,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$102.60,WA
Carteret Health Care,Chemistry,HCPCS 82248,Bilirubin level (Direct),$63.02,WA
Carteret Health Care,Chemistry,HCPCS 82247,Bilirubin level (Total),"$2,118.77",WA
Carteret Health Care,Chemistry,HCPCS 82565,Blood creatinine level,"$3,676.00",WA
Carteret Health Care,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$37.00,WA
Carteret Health Care,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,"$1,996.68",WA
Carteret Health Care,Chemistry,HCPCS 84132,Blood potassium level,$33.09,WA
Carteret Health Care,Chemistry,HCPCS 84295,Blood sodium level,$27.02,WA
Carteret Health Care,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$49.76,WA
Carteret Health Care,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$608.47,WA
Carteret Health Care,Chemistry,HCPCS 82310,Calcium level,$36.02,WA
Carteret Health Care,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$871.17,WA
Carteret Health Care,Chemistry,HCPCS 82465,Cholesterol level,$37.00,WA
Carteret Health Care,Chemistry,HCPCS 82525,Copper level,$32.62,WA
Carteret Health Care,Chemistry,HCPCS 82533,Cortisol Measurement,$226.42,WA
Carteret Health Care,Chemistry,HCPCS 84681,C-peptide (protein) level,$22.69,WA
