Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Lake Norman Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$385.53,WA
Lake Norman Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$851.60,WA
Lake Norman Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$158.29,WA
Lake Norman Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$110.75,WA
Lake Norman Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$198.59,WA
Lake Norman Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$35.14,WA
Lake Norman Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$120.61,WA
Lake Norman Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$97.44,WA
Lake Norman Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$37.66,WA
Lake Norman Regional Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$258.67,WA
Lake Norman Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$380.96,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$249.26,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$235.53,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$74.90,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$176.61,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$4.65,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$179.85,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$139.96,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$105.37,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$107.97,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$118.49,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$112.86,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$114.64,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$3.72,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$184.42,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$112.99,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$66.37,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$233.65,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$3.03,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82525,Copper level,$196.66,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$117.50,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$152.24,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$180.30,WA
Lake Norman Regional Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$108.32,WA
